"","treatment","meanflowrate","sdflow","meanage","sdage","meanbmi","sdbmi","meanpro","sdpro","meansod","sdsod","meanmag","sdmag","meanphs","sdphs","meansul","sdsul","meanpot","sdpot","meancal","sdcal","meanzinc","sdzinc","n_pop"
"1","US",0.48,0.31,26.33,7.116,22.7,4.43,1.08,0.492,104.03,67.774,3.66,2.212,159.24,54.437,34.96,20.22,760.62,190.691,51.6,12.549,9.68,33.138,36
"2","SS",1.2,0.588,26.33,7.116,22.7,4.43,0.96,0.367,193.58,147.028,2.6,1.099,143.75,48.934,28.69,20.042,809.67,195.693,43.48,8.809,14.48,95.227,36
